Year,Month,CharCode,InRuR
2005,1,CAD,23.0452
2005,1,NOK,4.59058
2005,1,XDR,42.9505
2005,1,SGD,16.9966
2005,1,TRY,20.6925
2005,1,UAH,5.12337
2005,1,SEK,4.19272
2005,1,CHF,24.5238
2005,1,JPY,0.270587
2005,2,AUD,21.7655
2005,2,GBP,52.9745
2005,2,BYR,0.0129161
2005,2,DKK,4.91428
2005,2,USD,28.1136
2005,2,EUR,36.5899
2005,2,ISK,0.452133
2005,2,KZT,0.216228
2005,2,CAD,22.6649
2005,2,NOK,4.43048
2005,2,XDR,42.7566
2005,2,SGD,17.1602
2005,2,TRY,20.9647
2005,2,UAH,5.28382
2005,2,SEK,4.01807
2005,2,CHF,23.611
2005,2,JPY,0.271341
2005,3,AUD,21.914
2005,3,GBP,53.2491
2005,3,BYR,0.0128099
2005,3,DKK,4.9373
2005,3,USD,27.7007
2005,3,EUR,36.72
2005,3,ISK,0.457107
2005,3,KZT,0.212837
2005,3,CAD,22.4479
2005,3,NOK,4.4492
2005,3,XDR,42.2314
2005,3,SGD,17.0351
2005,3,TRY,21.4236
2005,3,UAH,5.22822
2005,3,SEK,4.05687
2005,3,CHF,23.8676
2005,3,JPY,0.2648
2005,4,AUD,21.5234
2005,4,GBP,52.2946
2005,4,BYR,0.0129155
2005,4,DKK,4.8338
2005,4,USD,27.8548
2005,4,EUR,36.0274
2005,4,ISK,0.45574
2005,4,KZT,0.210235
2005,4,CAD,22.9069
2005,4,NOK,4.39558
2005,4,XDR,42.0248
2005,4,SGD,16.8684
2005,4,TRY,20.5192
2005,4,UAH,5.32108
2005,4,SEK,3.946
2005,4,CHF,23.2491
2005,4,JPY,0.25984
2005,5,AUD,21.7098
2005,5,GBP,53.1873
2005,5,BYR,0.0128987
2005,5,DKK,4.83675
2005,5,USD,27.7726
2005,5,EUR,36.0072
2005,5,ISK,0.438676
2005,5,KZT,0.211391
2005,5,CAD,22.2199
2005,5,NOK,4.41993
2005,5,XDR,42.0349
2005,5,SGD,16.9407
2005,5,TRY,19.8376
2005,5,UAH,5.46974
2005,5,SEK,3.92784
2005,5,CHF,23.4269
2005,5,JPY,0.263873
2005,6,AUD,21.3151
2005,6,GBP,51.2042
2005,6,BYR,0.0131016
2005,6,DKK,4.69292
2005,6,USD,28.1946
2005,6,EUR,34.9134
2005,6,ISK,0.434498
2005,6,KZT,0.21324
2005,6,CAD,22.3324
2005,6,NOK,4.37893
2005,6,XDR,41.8735
2005,6,SGD,16.9256
2005,6,TRY,20.535
2005,6,UAH,5.55559
2005,6,SEK,3.80684
2005,6,CHF,22.6154
2005,6,JPY,0.260218
2005,7,AUD,21.892
2005,7,GBP,51.8199
2005,7,BYR,0.0133038
2005,7,DKK,4.65197
2005,7,USD,28.6282
2005,7,EUR,34.6258
2005,7,ISK,0.438881
2005,7,KZT,0.21209
2005,7,CAD,23.2996
2005,7,NOK,4.37606
2005,7,XDR,41.7726
2005,7,SGD,17.0112
2005,7,TRY,21.3325
2005,7,UAH,5.67558
2005,7,SEK,3.66511
2005,7,CHF,22.3815
2005,7,JPY,0.259996
2005,8,AUD,21.7848
2005,8,GBP,50.2872
2005,8,BYR,0.0133166
2005,8,DKK,4.6524
2005,8,USD,28.6341
2005,8,EUR,34.716
2005,8,ISK,0.442021
2005,8,KZT,0.210728
2005,8,CAD,23.259
2005,8,NOK,4.39389
2005,8,XDR,41.5226
2005,8,SGD,17.2411
2005,8,TRY,21.5294
2005,8,UAH,5.6852
2005,8,SEK,3.68863
2005,8,CHF,22.2453
2005,8,JPY,0.255593
2005,9,AUD,21.3461
2005,9,GBP,50.965
2005,9,BYR,0.0132644
2005,9,DKK,4.67551
2005,9,USD,28.5566
2005,9,EUR,34.879
2005,9,ISK,0.450562
2005,9,KZT,0.211038
2005,9,CAD,23.9388
2005,9,NOK,4.41233
2005,9,XDR,41.6946
2005,9,SGD,16.9274
2005,9,TRY,20.9053
2005,9,UAH,5.65612
2005,9,SEK,3.72914
2005,9,CHF,22.505
2005,9,JPY,0.256504
2005,10,AUD,21.7378
2005,10,GBP,50.2526
2005,10,BYR,0.0132558
2005,10,DKK,4.59964
2005,10,USD,28.5348
2005,10,EUR,34.3074
2005,10,ISK,0.454303
2005,10,KZT,0.213347
2005,10,CAD,24.3429
2005,10,NOK,4.37181
2005,10,XDR,41.392
2005,10,SGD,16.8845
2005,10,TRY,21.1369
2005,10,UAH,5.59429
2005,10,SEK,3.6802
2005,10,CHF,22.0533
2005,10,JPY,0.252074
2005,11,AUD,21.4029
2005,11,GBP,50.6498
2005,11,BYR,0.0132476
2005,11,DKK,4.60468
2005,11,USD,28.503
2005,11,EUR,34.3946
2005,11,ISK,0.466956
2005,11,KZT,0.212574
2005,11,CAD,24.1899
2005,11,NOK,4.40085
2005,11,XDR,41.3909
2005,11,SGD,16.8418
2005,11,TRY,21.0899
2005,11,UAH,5.54059
2005,11,SEK,3.60437
2005,11,CHF,22.2402
2005,11,JPY,0.246246
2005,12,AUD,21.2563
2005,12,GBP,49.5319
2005,12,BYR,0.0133818
2005,12,DKK,4.55115
2005,12,USD,28.7792
2005,12,EUR,33.9393
2005,12,ISK,0.453931
2005,12,KZT,0.214631
2005,12,CAD,24.6123
2005,12,NOK,4.26516
2005,12,XDR,41.0527
2005,12,SGD,17.004
2005,12,TRY,21.2001
2005,12,UAH,5.66375
2005,12,SEK,3.56236
2005,12,CHF,21.9253
2005,12,JPY,0.240991
2006,1,AUD,21.1292
2006,1,GBP,49.7218
2006,1,BYR,0.0133634
2006,1,DKK,4.58094
2006,1,USD,28.7825
2006,1,EUR,34.185
2006,1,ISK,0.454987
2006,1,KZT,0.215337
2006,1,CAD,24.7336
2006,1,NOK,4.26048
2006,1,XDR,41.1331
2006,1,SGD,17.3076
2006,1,TRY,21.3125
2006,1,UAH,5.67232
2006,1,SEK,3.62751
2006,1,CHF,21.9563
2006,1,JPY,0.245291
2006,2,AUD,21.1541
2006,2,GBP,49.7769
2006,2,BYR,0.0130756
2006,2,DKK,4.5571
2006,2,USD,28.1305
2006,2,EUR,34.0492
2006,2,ISK,0.452113
2006,2,KZT,0.213002
2006,2,CAD,24.5445
2006,2,NOK,4.18111
2006,2,XDR,40.6095
2006,2,SGD,17.3068
2006,2,TRY,21.1826
2006,2,UAH,5.49284
2006,2,SEK,3.68171
2006,2,CHF,21.8778
2006,2,JPY,0.239633
2006,3,AUD,20.7506
2006,3,GBP,48.897
2006,3,BYR,0.0130665
2006,3,DKK,4.46537
2006,3,USD,28.1211
2006,3,EUR,33.3291
2006,3,ISK,0.424149
2006,3,KZT,0.215807
2006,3,CAD,24.6525
2006,3,NOK,4.14203
2006,3,XDR,40.3124
2006,3,SGD,17.3053
2006,3,TRY,21.3832
2006,3,UAH,5.50315
2006,3,SEK,3.52518
2006,3,CHF,21.2604
2006,3,JPY,0.24184
2006,4,AUD,19.8551
2006,4,GBP,48.3136
2006,4,BYR,0.0128746
2006,4,DKK,4.50788
2006,4,USD,27.6996
2006,4,EUR,33.6273
2006,4,ISK,0.393069
2006,4,KZT,0.215729
2006,4,CAD,23.8543
2006,4,NOK,4.22218
2006,4,XDR,39.9046
2006,4,SGD,17.1133
2006,4,TRY,20.503
2006,4,UAH,5.42258
2006,4,SEK,3.57797
2006,4,CHF,21.3221
2006,4,JPY,0.235942
2006,5,AUD,20.5672
2006,5,GBP,49.1448
2006,5,BYR,0.0126848
2006,5,DKK,4.58724
2006,5,USD,27.2739
2006,5,EUR,34.1906
2006,5,ISK,0.366388
2006,5,KZT,0.21917
2006,5,CAD,24.2564
2006,5,NOK,4.40306
2006,5,XDR,39.9088
2006,5,SGD,17.2434
2006,5,TRY,20.6386
2006,5,UAH,5.37279
2006,5,SEK,3.68049
2006,5,CHF,21.6649
2006,5,JPY,0.238868
2006,6,AUD,20.5653
2006,6,GBP,50.6818
2006,6,BYR,0.0125603
2006,6,DKK,4.6495
2006,6,USD,26.9355
2006,6,EUR,34.7064
2006,6,ISK,0.374937
2006,6,KZT,0.222155
2006,6,CAD,24.5225
2006,6,CNY,3.35545
2006,6,NOK,4.43142
2006,6,XDR,40.2314
2006,6,SGD,17.0976
2006,6,TRY,17.2996
2006,6,UAH,5.38301
2006,6,SEK,3.74598
2006,6,CHF,22.2534
2006,6,JPY,0.240496
2006,7,AUD,20.0127
2006,7,GBP,49.3745
2006,7,BYR,0.0125715
2006,7,DKK,4.59077
2006,7,USD,26.9423
2006,7,EUR,34.2383
2006,7,ISK,0.352417
2006,7,KZT,0.227707
2006,7,CAD,24.2855
2006,7,CNY,3.36989
2006,7,NOK,4.32322
2006,7,XDR,39.5311
2006,7,SGD,16.9608
2006,7,TRY,16.9342
2006,7,UAH,5.34824
2006,7,SEK,3.70927
2006,7,CHF,21.8528
2006,7,JPY,0.235037
2006,8,AUD,20.5627
2006,8,GBP,50.0161
2006,8,BYR,0.0125158
2006,8,DKK,4.58378
2006,8,USD,26.8197
2006,8,EUR,34.2112
2006,8,ISK,0.369825
2006,8,KZT,0.22661
2006,8,CAD,23.7196
2006,8,CNY,3.36572
2006,8,NOK,4.33478
2006,8,XDR,39.6476
2006,8,SGD,16.9939
2006,8,TRY,17.9757
2006,8,UAH,5.32
2006,8,SEK,3.70699
2006,8,CHF,21.7445
2006,8,JPY,0.234664
2006,9,AUD,20.3893
2006,9,GBP,50.9732
2006,9,BYR,0.012478
2006,9,DKK,4.59815
2006,9,USD,26.7295
2006,9,EUR,34.318
2006,9,ISK,0.385318
2006,9,KZT,0.213213
2006,9,CAD,24.1067
2006,9,CNY,3.35882
2006,9,NOK,4.23834
2006,9,XDR,39.731
2006,9,SGD,16.9948
2006,9,TRY,18.2081
2006,9,UAH,5.29098
2006,9,SEK,3.71233
2006,9,CHF,21.7667
2006,9,JPY,0.227873
2006,10,AUD,20.026
2006,10,GBP,50.1829
2006,10,BYR,0.0125052
2006,10,DKK,4.55774
2006,10,USD,26.7799
2006,10,EUR,33.9783
2006,10,ISK,0.382297
2006,10,KZT,0.210492
2006,10,CAD,24.0783
2006,10,CNY,3.38686
2006,10,NOK,4.14011
2006,10,XDR,39.6251
2006,10,SGD,16.8682
2006,10,TRY,17.8295
2006,10,UAH,5.29896
2006,10,SEK,3.67074
2006,10,CHF,21.4548
2006,10,JPY,0.227179
2006,11,AUD,20.6107
2006,11,GBP,50.8948
2006,11,BYR,0.0125036
2006,11,DKK,4.55957
2006,11,USD,26.7811
2006,11,EUR,33.9852
2006,11,ISK,0.391594
2006,11,KZT,0.209511
2006,11,CAD,23.7758
2006,11,CNY,3.39905
2006,11,NOK,4.07776
2006,11,XDR,39.6933
2006,11,SGD,17.1476
2006,11,TRY,18.3056
2006,11,UAH,5.28414
