Project Manager (business-analysis),75697.75,Москва,2003-08-29T18:08:11+0400
Purchasing Manager (NP),57530.29,Москва,2003-08-31T13:47:16+0400
Сервис-инженер.,10597.685,Санкт-Петербург,2003-08-31T14:48:37+0400
Менеджер по работе с корпоративными заказчиками.,30279.1,Санкт-Петербург,2003-08-31T14:50:49+0400
Инженер по тестированию.,9083.73,Санкт-Петербург,2003-08-31T14:52:27+0400
Продукт-менеджер по промышленным компьютерам,15139.55,Санкт-Петербург,2003-08-31T14:56:28+0400
Технический писатель,15251.8,Москва,2003-09-01T12:06:46+0400
Програмист SQL,24402.879999999997,Москва,2003-09-01T12:09:53+0400
Инженер по автоматизированному тестированию,21352.52,Москва,2003-09-01T12:12:04+0400
Системный администратор,45921.3,Москва,2003-10-27T00:00:00+0300
Начальник отдела системного анализа в крупную производственную компанию,45755.4,Москва,2003-09-25T00:00:00+0400
Журналист,24402.879999999997,Москва,2003-09-01T14:50:44+0400
Ассистент/Менеджер по продажам в отдел по работе с гос. сектором,15251.8,Москва,2003-09-26T00:00:00+0400
Программист,27453.239999999998,Москва,2003-09-01T17:50:44+0400
Менеджер по работе с партнерами,45755.4,Москва,2003-09-01T18:04:49+0400
ВЕБ-ПРОГРАММИСТ,21352.52,Москва,2003-09-15T00:00:00+0400
ВЕБ-ДИЗАЙНЕР,30503.6,Москва,2003-09-15T00:00:00+0400
МЕНЕДЖЕР ИНТЕРНЕТ-ПРОЕКТА,45755.4,Москва,2003-09-15T00:00:00+0400
Менеджер по работе с клиентами,30503.6,Москва,2003-09-02T11:00:14+0400
Тест-аналитик,30503.6,Москва,2003-09-02T11:01:04+0400
Менеджер по продажам услуг по заказной разработке ПО,76259.0,Москва,2003-09-02T11:02:37+0400
Менеджер по продажам услуг по заказной разработке ПО,76259.0,Москва,2003-09-02T11:05:22+0400
Разработчик C#.NET,24402.879999999997,Москва,2003-09-02T11:07:57+0400
Разработчик VB,24402.879999999997,Москва,2003-09-02T11:09:25+0400
Консультант по продажам программного обеспечения,18302.16,Москва,2003-09-02T11:40:17+0400
Инженер службы поддержки продаж (техническая безопасность),30503.6,Москва,2003-09-02T12:14:13+0400
Менеджер по продажам,45755.4,Москва,2003-09-02T12:18:18+0400
XSLT-верстальщик,19827.34,Москва,2003-09-25T00:00:00+0400
Помощник системного администратора,9151.08,Санкт-Петербург,2003-09-02T13:29:36+0400
QA / Тестер программного обеспечения,39798.46,Москва,2003-10-06T00:00:00+0400
Менеджер по продажам,30503.6,Москва,2003-09-03T10:00:33+0400
Начальник отдела IT,122014.4,Москва,2003-09-03T14:34:57+0400
Сервис-инженер в Информационно-технический отдел,19827.34,Москва,2003-09-03T15:05:49+0400
ABAP программист,36604.32,Москва,2003-09-04T12:52:28+0400
Менеджер проекта (внедрение OEBS),76535.5,Москва,2003-10-27T00:00:00+0300
Инженер-программист,21352.52,Москва,2003-09-29T00:00:00+0400
Дизайнер интерфейсов,24402.879999999997,Москва,2003-09-05T12:25:03+0400
Менеджер по работе с корпоративными клиентами,48982.72,Москва,2003-10-28T00:00:00+0300
"Java developer, Team Leader, Architect",54906.479999999996,Москва,2003-09-05T13:46:54+0400
Программист 1С,30503.6,Москва,2003-09-05T15:27:50+0400
Ассистент консультанта Департамента бизнес-решений,21352.52,Москва,2003-09-05T15:30:05+0400
Консультант Департамента бизнес-решений,30614.2,Москва,2003-10-28T00:00:00+0300
Тест-аналитик,30614.2,Москва,2003-10-02T00:00:00+0400
